PROCESS_ID,COMPONENT_ID,THREAD_ID,TRANSACTION_ID,LOG_LEVEL,MESSAGE_ID,MESSAGE_TEXT,CREATION_TIMESTAMP,
PROCESS_2,COMPONENT_3,93,1483246806760981.93,WARN,WARN_Message_Id_XYZ_93068,WARN_Message_Text_XYZ_93068,2017/01/01 00:00:06.760981,
PROCESS_2,COMPONENT_3,93,1483246806760981.93,WARN,WARN_Message_Id_XYZ_93006,WARN_Message_Text_XYZ_93006,2017/01/01 00:00:06.760981,
PROCESS_2,COMPONENT_3,93,1483246806760981.93,INFO,INFO_Message_Id_XYZ_93086,INFO_Message_Text_XYZ_93086,2017/01/01 00:00:06.760981,
PROCESS_2,COMPONENT_3,93,1483246806760981.93,FATAL,FATAL_Message_Id_XYZ_93066,FATAL_Message_Text_XYZ_93066,2017/01/01 00:00:06.760981,
PROCESS_2,COMPONENT_3,93,1483246806760981.93,DEBUG_X,DEBUG_X_Message_Id_XYZ_93027,DEBUG_X_Message_Text_XYZ_93027,2017/01/01 00:00:06.760981,
PROCESS_1,COMPONENT_2,74,1483246803007177.74,INFO,INFO_Message_Id_XYZ_74056,INFO_Message_Text_XYZ_74056,2017/01/01 00:00:03.007177,
PROCESS_1,COMPONENT_2,74,1483246803007177.74,ERROR,ERROR_Message_Id_XYZ_74002,ERROR_Message_Text_XYZ_74002,2017/01/01 00:00:03.007177,
PROCESS_1,COMPONENT_2,74,1483246803007177.74,ERROR,ERROR_Message_Id_XYZ_74023,ERROR_Message_Text_XYZ_74023,2017/01/01 00:00:03.007177,
PROCESS_1,COMPONENT_2,74,1483246803007177.74,ERROR,ERROR_Message_Id_XYZ_74076,ERROR_Message_Text_XYZ_74076,2017/01/01 00:00:03.007177,
PROCESS_1,COMPONENT_2,74,1483246803007177.74,DEBUG_X,DEBUG_X_Message_Id_XYZ_74072,DEBUG_X_Message_Text_XYZ_74072,2017/01/01 00:00:03.007177,
PROCESS_1,COMPONENT_1,57,1483246803298212.57,ERROR,ERROR_Message_Id_XYZ_57068,ERROR_Message_Text_XYZ_57068,2017/01/01 00:00:03.298212,
PROCESS_1,COMPONENT_1,57,1483246803298212.57,ERROR,ERROR_Message_Id_XYZ_57098,ERROR_Message_Text_XYZ_57098,2017/01/01 00:00:03.298212,
PROCESS_1,COMPONENT_1,57,1483246803298212.57,INFO,INFO_Message_Id_XYZ_57017,INFO_Message_Text_XYZ_57017,2017/01/01 00:00:03.298212,
PROCESS_1,COMPONENT_1,57,1483246803298212.57,DEBUG_X,DEBUG_X_Message_Id_XYZ_57070,DEBUG_X_Message_Text_XYZ_57070,2017/01/01 00:00:03.298212,
PROCESS_1,COMPONENT_1,57,1483246803298212.57,ERROR,ERROR_Message_Id_XYZ_57063,ERROR_Message_Text_XYZ_57063,2017/01/01 00:00:03.298212,
PROCESS_1,COMPONENT_1,61,1483246801040847.61,DEBUG_X,DEBUG_X_Message_Id_XYZ_61022,DEBUG_X_Message_Text_XYZ_61022,2017/01/01 00:00:01.040847,
PROCESS_1,COMPONENT_1,61,1483246801040847.61,DEBUG_X,DEBUG_X_Message_Id_XYZ_61067,DEBUG_X_Message_Text_XYZ_61067,2017/01/01 00:00:01.040847,
PROCESS_1,COMPONENT_1,61,1483246801040847.61,INFO,INFO_Message_Id_XYZ_61047,INFO_Message_Text_XYZ_61047,2017/01/01 00:00:01.040847,
PROCESS_1,COMPONENT_1,61,1483246801040847.61,INFO,INFO_Message_Id_XYZ_61082,INFO_Message_Text_XYZ_61082,2017/01/01 00:00:01.040847,
PROCESS_1,COMPONENT_1,61,1483246801040847.61,ERROR,ERROR_Message_Id_XYZ_61081,ERROR_Message_Text_XYZ_61081,2017/01/01 00:00:01.040847,
PROCESS_1,COMPONENT_1,16,1483246808211736.16,INFO,INFO_Message_Id_XYZ_16094,INFO_Message_Text_XYZ_16094,2017/01/01 00:00:08.211736,
PROCESS_1,COMPONENT_1,16,1483246808211736.16,ERROR,ERROR_Message_Id_XYZ_16003,ERROR_Message_Text_XYZ_16003,2017/01/01 00:00:08.211736,
PROCESS_1,COMPONENT_1,16,1483246808211736.16,DEBUG_X,DEBUG_X_Message_Id_XYZ_16028,DEBUG_X_Message_Text_XYZ_16028,2017/01/01 00:00:08.211736,
PROCESS_1,COMPONENT_1,16,1483246808211736.16,ERROR,ERROR_Message_Id_XYZ_16049,ERROR_Message_Text_XYZ_16049,2017/01/01 00:00:08.211736,
PROCESS_1,COMPONENT_1,16,1483246808211736.16,DEBUG_X,DEBUG_X_Message_Id_XYZ_16041,DEBUG_X_Message_Text_XYZ_16041,2017/01/01 00:00:08.211736,
PROCESS_1,COMPONENT_1,94,1483246805805287.94,ERROR,ERROR_Message_Id_XYZ_94012,ERROR_Message_Text_XYZ_94012,2017/01/01 00:00:05.805287,
PROCESS_1,COMPONENT_1,94,1483246805805287.94,WARN,WARN_Message_Id_XYZ_94011,WARN_Message_Text_XYZ_94011,2017/01/01 00:00:05.805287,
PROCESS_1,COMPONENT_1,94,1483246805805287.94,INFO,INFO_Message_Id_XYZ_94088,INFO_Message_Text_XYZ_94088,2017/01/01 00:00:05.805287,
PROCESS_1,COMPONENT_1,94,1483246805805287.94,INFO,INFO_Message_Id_XYZ_94018,INFO_Message_Text_XYZ_94018,2017/01/01 00:00:05.805287,
PROCESS_1,COMPONENT_1,94,1483246805805287.94,ERROR,ERROR_Message_Id_XYZ_94032,ERROR_Message_Text_XYZ_94032,2017/01/01 00:00:05.805287,
PROCESS_1,COMPONENT_1,64,1483246807666068.64,INFO,INFO_Message_Id_XYZ_64092,INFO_Message_Text_XYZ_64092,2017/01/01 00:00:07.666068,
PROCESS_1,COMPONENT_1,64,1483246807666068.64,WARN,WARN_Message_Id_XYZ_64024,WARN_Message_Text_XYZ_64024,2017/01/01 00:00:07.666068,
PROCESS_1,COMPONENT_1,64,1483246807666068.64,ERROR,ERROR_Message_Id_XYZ_64010,ERROR_Message_Text_XYZ_64010,2017/01/01 00:00:07.666068,
PROCESS_1,COMPONENT_1,64,1483246807666068.64,WARN,WARN_Message_Id_XYZ_64020,WARN_Message_Text_XYZ_64020,2017/01/01 00:00:07.666068,
PROCESS_1,COMPONENT_1,64,1483246807666068.64,DEBUG_X,DEBUG_X_Message_Id_XYZ_64084,DEBUG_X_Message_Text_XYZ_64084,2017/01/01 00:00:07.666068,
PROCESS_1,COMPONENT_4,85,1483246800377949.85,DEBUG_X,DEBUG_X_Message_Id_XYZ_85089,DEBUG_X_Message_Text_XYZ_85089,2017/01/01 00:00:00.377949,
PROCESS_1,COMPONENT_4,85,1483246800377949.85,DEBUG_X,DEBUG_X_Message_Id_XYZ_85083,DEBUG_X_Message_Text_XYZ_85083,2017/01/01 00:00:00.377949,
PROCESS_1,COMPONENT_4,85,1483246800377949.85,ERROR,ERROR_Message_Id_XYZ_85055,ERROR_Message_Text_XYZ_85055,2017/01/01 00:00:00.377949,
PROCESS_1,COMPONENT_4,85,1483246800377949.85,INFO,INFO_Message_Id_XYZ_85076,INFO_Message_Text_XYZ_85076,2017/01/01 00:00:00.377949,
PROCESS_1,COMPONENT_4,85,1483246800377949.85,INFO,INFO_Message_Id_XYZ_85003,INFO_Message_Text_XYZ_85003,2017/01/01 00:00:00.377949,
PROCESS_2,COMPONENT_1,79,1483246804083943.79,INFO,INFO_Message_Id_XYZ_79002,INFO_Message_Text_XYZ_79002,2017/01/01 00:00:04.083943,
PROCESS_2,COMPONENT_1,79,1483246804083943.79,ERROR,ERROR_Message_Id_XYZ_79002,ERROR_Message_Text_XYZ_79002,2017/01/01 00:00:04.083943,
PROCESS_2,COMPONENT_1,79,1483246804083943.79,DEBUG_X,DEBUG_X_Message_Id_XYZ_79054,DEBUG_X_Message_Text_XYZ_79054,2017/01/01 00:00:04.083943,
PROCESS_2,COMPONENT_1,79,1483246804083943.79,ERROR,ERROR_Message_Id_XYZ_79075,ERROR_Message_Text_XYZ_79075,2017/01/01 00:00:04.083943,
PROCESS_2,COMPONENT_1,79,1483246804083943.79,INFO,INFO_Message_Id_XYZ_79045,INFO_Message_Text_XYZ_79045,2017/01/01 00:00:04.083943,
PROCESS_1,COMPONENT_3,18,1483246807814759.18,DEBUG_X,DEBUG_X_Message_Id_XYZ_18028,DEBUG_X_Message_Text_XYZ_18028,2017/01/01 00:00:07.814759,
PROCESS_1,COMPONENT_3,18,1483246807814759.18,ERROR,ERROR_Message_Id_XYZ_18068,ERROR_Message_Text_XYZ_18068,2017/01/01 00:00:07.814759,
PROCESS_1,COMPONENT_3,18,1483246807814759.18,FATAL,FATAL_Message_Id_XYZ_18041,FATAL_Message_Text_XYZ_18041,2017/01/01 00:00:07.814759,
PROCESS_1,COMPONENT_3,18,1483246807814759.18,DEBUG_X,DEBUG_X_Message_Id_XYZ_18024,DEBUG_X_Message_Text_XYZ_18024,2017/01/01 00:00:07.814759,
PROCESS_1,COMPONENT_3,18,1483246807814759.18,INFO,INFO_Message_Id_XYZ_18073,INFO_Message_Text_XYZ_18073,2017/01/01 00:00:07.814759,
PROCESS_1,COMPONENT_2,62,1483246812966888.62,ERROR,ERROR_Message_Id_XYZ_62080,ERROR_Message_Text_XYZ_62080,2017/01/01 00:00:12.966888,
PROCESS_1,COMPONENT_2,62,1483246812966888.62,ERROR,ERROR_Message_Id_XYZ_62032,ERROR_Message_Text_XYZ_62032,2017/01/01 00:00:12.966888,
PROCESS_1,COMPONENT_2,62,1483246812966888.62,ERROR,ERROR_Message_Id_XYZ_62049,ERROR_Message_Text_XYZ_62049,2017/01/01 00:00:12.966888,
PROCESS_1,COMPONENT_2,62,1483246812966888.62,WARN,WARN_Message_Id_XYZ_62074,WARN_Message_Text_XYZ_62074,2017/01/01 00:00:12.966888,
PROCESS_1,COMPONENT_2,62,1483246812966888.62,ERROR,ERROR_Message_Id_XYZ_62001,ERROR_Message_Text_XYZ_62001,2017/01/01 00:00:12.966888,
PROCESS_1,COMPONENT_2,40,1483246807480962.40,ERROR,ERROR_Message_Id_XYZ_40044,ERROR_Message_Text_XYZ_40044,2017/01/01 00:00:07.480962,
PROCESS_1,COMPONENT_2,40,1483246807480962.40,ERROR,ERROR_Message_Id_XYZ_40018,ERROR_Message_Text_XYZ_40018,2017/01/01 00:00:07.480962,
PROCESS_1,COMPONENT_2,40,1483246807480962.40,ERROR,ERROR_Message_Id_XYZ_40078,ERROR_Message_Text_XYZ_40078,2017/01/01 00:00:07.480962,
PROCESS_1,COMPONENT_2,40,1483246807480962.40,INFO,INFO_Message_Id_XYZ_40003,INFO_Message_Text_XYZ_40003,2017/01/01 00:00:07.480962,
PROCESS_1,COMPONENT_2,40,1483246807480962.40,DEBUG_X,DEBUG_X_Message_Id_XYZ_40049,DEBUG_X_Message_Text_XYZ_40049,2017/01/01 00:00:07.480962,
PROCESS_1,COMPONENT_1,51,1483246803353044.51,INFO,INFO_Message_Id_XYZ_51010,INFO_Message_Text_XYZ_51010,2017/01/01 00:00:03.353044,
PROCESS_1,COMPONENT_1,51,1483246803353044.51,FATAL,FATAL_Message_Id_XYZ_51037,FATAL_Message_Text_XYZ_51037,2017/01/01 00:00:03.353044,
PROCESS_1,COMPONENT_1,51,1483246803353044.51,INFO,INFO_Message_Id_XYZ_51077,INFO_Message_Text_XYZ_51077,2017/01/01 00:00:03.353044,
PROCESS_1,COMPONENT_1,51,1483246803353044.51,DEBUG_X,DEBUG_X_Message_Id_XYZ_51017,DEBUG_X_Message_Text_XYZ_51017,2017/01/01 00:00:03.353044,
PROCESS_1,COMPONENT_1,51,1483246803353044.51,ERROR,ERROR_Message_Id_XYZ_51065,ERROR_Message_Text_XYZ_51065,2017/01/01 00:00:03.353044,
PROCESS_1,COMPONENT_2,32,1483246812427635.32,WARN,WARN_Message_Id_XYZ_32068,WARN_Message_Text_XYZ_32068,2017/01/01 00:00:12.427635,
PROCESS_1,COMPONENT_2,32,1483246812427635.32,DEBUG_X,DEBUG_X_Message_Id_XYZ_32069,DEBUG_X_Message_Text_XYZ_32069,2017/01/01 00:00:12.427635,
PROCESS_1,COMPONENT_2,32,1483246812427635.32,INFO,INFO_Message_Id_XYZ_32006,INFO_Message_Text_XYZ_32006,2017/01/01 00:00:12.427635,
PROCESS_1,COMPONENT_2,32,1483246812427635.32,WARN,WARN_Message_Id_XYZ_32050,WARN_Message_Text_XYZ_32050,2017/01/01 00:00:12.427635,
PROCESS_1,COMPONENT_2,32,1483246812427635.32,INFO,INFO_Message_Id_XYZ_32032,INFO_Message_Text_XYZ_32032,2017/01/01 00:00:12.427635,
PROCESS_2,COMPONENT_2,17,1483246810318033.17,DEBUG_X,DEBUG_X_Message_Id_XYZ_17011,DEBUG_X_Message_Text_XYZ_17011,2017/01/01 00:00:10.318033,
PROCESS_2,COMPONENT_2,17,1483246810318033.17,ERROR,ERROR_Message_Id_XYZ_17016,ERROR_Message_Text_XYZ_17016,2017/01/01 00:00:10.318033,
PROCESS_2,COMPONENT_2,17,1483246810318033.17,WARN,WARN_Message_Id_XYZ_17061,WARN_Message_Text_XYZ_17061,2017/01/01 00:00:10.318033,
PROCESS_2,COMPONENT_2,17,1483246810318033.17,DEBUG_X,DEBUG_X_Message_Id_XYZ_17070,DEBUG_X_Message_Text_XYZ_17070,2017/01/01 00:00:10.318033,
PROCESS_2,COMPONENT_2,17,1483246810318033.17,INFO,INFO_Message_Id_XYZ_17077,INFO_Message_Text_XYZ_17077,2017/01/01 00:00:10.318033,
PROCESS_2,COMPONENT_1,62,1483246802859969.62,INFO,INFO_Message_Id_XYZ_62099,INFO_Message_Text_XYZ_62099,2017/01/01 00:00:02.859969,
PROCESS_2,COMPONENT_1,62,1483246802859969.62,ERROR,ERROR_Message_Id_XYZ_62009,ERROR_Message_Text_XYZ_62009,2017/01/01 00:00:02.859969,
PROCESS_2,COMPONENT_1,62,1483246802859969.62,DEBUG_X,DEBUG_X_Message_Id_XYZ_62007,DEBUG_X_Message_Text_XYZ_62007,2017/01/01 00:00:02.859969,
PROCESS_2,COMPONENT_1,62,1483246802859969.62,WARN,WARN_Message_Id_XYZ_62068,WARN_Message_Text_XYZ_62068,2017/01/01 00:00:02.859969,
PROCESS_2,COMPONENT_1,62,1483246802859969.62,WARN,WARN_Message_Id_XYZ_62051,WARN_Message_Text_XYZ_62051,2017/01/01 00:00:02.859969,
PROCESS_1,COMPONENT_1,65,1483246801584787.65,INFO,INFO_Message_Id_XYZ_65003,INFO_Message_Text_XYZ_65003,2017/01/01 00:00:01.584787,
PROCESS_1,COMPONENT_1,65,1483246801584787.65,INFO,INFO_Message_Id_XYZ_65040,INFO_Message_Text_XYZ_65040,2017/01/01 00:00:01.584787,
PROCESS_1,COMPONENT_1,65,1483246801584787.65,INFO,INFO_Message_Id_XYZ_65079,INFO_Message_Text_XYZ_65079,2017/01/01 00:00:01.584787,
PROCESS_1,COMPONENT_1,65,1483246801584787.65,DEBUG_X,DEBUG_X_Message_Id_XYZ_65048,DEBUG_X_Message_Text_XYZ_65048,2017/01/01 00:00:01.584787,
PROCESS_1,COMPONENT_1,65,1483246801584787.65,DEBUG_X,DEBUG_X_Message_Id_XYZ_65042,DEBUG_X_Message_Text_XYZ_65042,2017/01/01 00:00:01.584787,
PROCESS_1,COMPONENT_3,75,1483246810610074.75,INFO,INFO_Message_Id_XYZ_75025,INFO_Message_Text_XYZ_75025,2017/01/01 00:00:10.610074,
PROCESS_1,COMPONENT_3,75,1483246810610074.75,INFO,INFO_Message_Id_XYZ_75040,INFO_Message_Text_XYZ_75040,2017/01/01 00:00:10.610074,
PROCESS_1,COMPONENT_3,75,1483246810610074.75,WARN,WARN_Message_Id_XYZ_75042,WARN_Message_Text_XYZ_75042,2017/01/01 00:00:10.610074,
PROCESS_1,COMPONENT_3,75,1483246810610074.75,INFO,INFO_Message_Id_XYZ_75049,INFO_Message_Text_XYZ_75049,2017/01/01 00:00:10.610074,
